Cantones/Partidos,SAN JOSE,ESCAZU,DESAMPARADOS,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
ACCION CIUDADANA,92639.0,21375.0,64700.0,15003.0,6106.0,19091.0,10115.0,38075.0,16866.0,16677.0,24868.0,8253.0,24936.0,21699.0,22960.0,1900.0,3066.0,22449.0,38275.0,4811.0,82890.0,30743.0,26401.0,2050.0,10322.0,14938.0,15474.0,10395.0,5694.0,35224.0,5039.0,6316.0,6054.0,2630.0,2112.0,72304.0,26696.0,31815.0,6512.0,26821.0,6078.0,21444.0,19716.0,47822.0,17615.0,17936.0,12753.0,17955.0,8591.0,10790.0,9235.0,11434.0,7910.0,14574.0,15172.0,14825.0,4596.0,7576.0,5834.0,4583.0,6187.0,3414.0,2913.0,2922.0,23418.0,7407.0,6474.0,3759.0,4183.0,4838.0,6007.0,8728.0,3123.0,6286.0,3532.0,12619.0,22648.0,8048.0,2943.0,2991.0,6028.0
RESTAURACION NACIONAL,62892.0,11489.0,45303.0,4765.0,1881.0,9757.0,4689.0,24711.0,8245.0,15720.0,14473.0,2733.0,14048.0,10874.0,8223.0,865.0,693.0,12316.0,32237.0,1319.0,54408.0,14207.0,16359.0,962.0,4644.0,7582.0,6146.0,5640.0,3613.0,36809.0,1766.0,3817.0,8913.0,3591.0,4060.0,19671.0,8139.0,17934.0,2213.0,11868.0,1535.0,5422.0,5097.0,21916.0,7500.0,7886.0,6716.0,7845.0,3193.0,3345.0,3469.0,4996.0,11953.0,11212.0,9735.0,8585.0,3497.0,5958.0,5307.0,3486.0,3991.0,2103.0,3408.0,1121.0,25958.0,7159.0,10132.0,3207.0,7478.0,6159.0,8852.0,8142.0,3718.0,11477.0,2587.0,22695.0,32403.0,14338.0,6994.0,8675.0,10494.0
NULOS,1393.0,397.0,856.0,148.0,59.0,247.0,143.0,495.0,229.0,269.0,322.0,94.0,319.0,278.0,277.0,22.0,31.0,359.0,781.0,44.0,1083.0,442.0,386.0,23.0,97.0,179.0,179.0,116.0,52.0,678.0,75.0,78.0,164.0,51.0,76.0,879.0,274.0,461.0,69.0,374.0,59.0,257.0,237.0,499.0,193.0,215.0,123.0,216.0,101.0,99.0,114.0,97.0,184.0,196.0,284.0,270.0,60.0,123.0,87.0,82.0,66.0,57.0,47.0,34.0,404.0,129.0,223.0,57.0,123.0,80.0,195.0,215.0,69.0,178.0,65.0,562.0,463.0,262.0,165.0,147.0,155.0
BLANCOS,315.0,92.0,171.0,48.0,23.0,48.0,35.0,127.0,45.0,46.0,65.0,26.0,71.0,51.0,59.0,7.0,16.0,71.0,248.0,17.0,224.0,109.0,108.0,5.0,39.0,58.0,37.0,27.0,16.0,195.0,30.0,15.0,42.0,17.0,14.0,210.0,53.0,115.0,12.0,79.0,22.0,65.0,51.0,126.0,47.0,47.0,46.0,30.0,33.0,24.0,23.0,23.0,60.0,25.0,53.0,33.0,12.0,18.0,20.0,18.0,11.0,15.0,13.0,7.0,77.0,28.0,63.0,12.0,24.0,20.0,36.0,57.0,14.0,54.0,17.0,97.0,81.0,53.0,26.0,24.0,35.0
