Indice/Canton,SANJOSE,ESCAZU,DESAMPARADO,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
Porcentaje de alfabetismo,98.75840265820393,98.98936278813304,98.64267143870234,96.68485102811535,96.45316549426133,98.02315556102933,98.01888457465567,99.0307563920804,98.69888917961096,98.55379298535132,99.05015197568375,95.60069645966342,98.96119929453198,99.23822575119337,99.45469704139255,94.97433704020519,97.25416166123215,98.99987674537311,97.2368045139627,96.62606341840662,98.21869398681852,97.54088767956935,97.48964247353067,97.73946360153234,97.95723818602814,97.36084983954817,98.20933417966782,97.40789044669039,96.73555659934266,95.65031471075858,97.69701681080531,97.02628839146233,94.14835396143813,91.10115911485816,94.24129451891784,98.3933522381693,97.95250637912596,98.63721748286137,96.55420530860256,96.06015242242876,97.20401559777652,97.67605450329562,98.42517450768946,99.07094594594622,98.85629324641152,99.06755253927945,98.50605696469682,98.71504541869177,98.67393380906933,99.04023624953847,99.08990783143003,99.0866627742101,94.38626347253164,97.68931550326094,97.26215080231296,98.12183288409663,96.17058311575344,97.80769105106697,96.42244775012692,95.54921729901812,96.36254140319137,96.2015915119366,93.76753899366956,96.48639896373037,97.0757279100612,97.58771019306583,95.26358115415485,96.41652229415527,95.26445264452666,96.5150832958128,95.96278140319085,94.6863326033745,94.60388639760838,96.02180639457806,96.7477313974596,96.95979034862546,96.5083322782039,96.50882563668354,93.10227946784171,96.00693865296785,96.51086043441775
10 a 24 años,99.43032008633992,99.44501241419603,99.3765029199587,99.52646532673896,98.6785009861933,99.1431846980027,99.35229512813301,99.42471731799212,99.33360422592446,99.38347718865637,99.53897736797983,99.22073521937999,99.54247950689414,99.50679056468891,99.69204042956372,99.36828806064443,99.09909909909919,99.44644013897896,99.26738149531765,98.76356295735549,99.30964022476898,99.13967393642183,99.1043397968601,99.61856325492683,99.31066176470588,99.03048229397747,99.32702418506824,98.98342006535123,99.03277807630282,98.60702491744216,99.22971114167804,98.70820668692997,99.05031892274923,97.1219389043168,98.52374839537872,99.29639401934853,99.28091201403134,99.37587709579765,99.06519654841794,98.75210614995778,98.75538535184289,99.06074837145823,99.45073235685737,99.54492343644259,99.49050486336259,99.39936882826049,99.38115045145553,99.46987546280745,99.76005906238476,99.70165951892564,99.26630973626796,99.48372293130652,98.23018699910942,98.97226753670421,99.45411625848297,99.41381716678261,99.1855524079323,99.10976325572301,98.79855826992399,98.84057971014488,99.21710903188837,99.28548229944785,98.58283107998038,99.50641658440286,99.10689015377845,99.06156156156156,98.87746821747395,99.39042089985485,98.71036441079038,99.03175832687846,99.35145700071087,98.021900388555,99.15693904020739,99.0354492992579,99.08724262364649,99.0715988729137,99.05575061176754,99.06492899304561,97.94117647058822,98.95913317976272,99.1368387709854
25 y más años,98.47701215186378,98.81252656936327,98.2850973368374,95.27051799088693,95.11558980438633,97.44563019196582,97.41035856573676,98.85859592850927,98.43623890234129,98.10012280575017,98.8229728977684,93.71413436920649,98.73788540878395,99.1327776374511,99.35992432602862,92.72550921435513,96.20763851533094,98.80940419973913,96.0543045234936,95.29854254819021,97.71157577648874,96.71698698765236,96.68581935187346,96.92898272552779,97.38726533772056,96.51332527005073,97.6888801841061,96.60787808025576,95.61533758406857,93.87750204003319,96.85997596153837,96.1500395882817,90.93443613215068,86.78784590341851,91.71813941762285,97.94392523364432,97.23095487599632,98.28321622626156,95.29750479846425,94.77533172496996,96.38095238095221,96.95008141058663,97.8946008783259,98.86274615738,98.57314198271246,98.93844569436794,98.0940097449123,98.38786154575634,98.19856208094333,98.77941176470556,99.01703800786366,98.92384592766811,91.90770114117608,96.98044046510321,96.25512590232809,97.5440786394138,94.5391837516766,97.15477066470443,95.15900056785925,93.82890617109435,95.0475017593244,94.70532618972618,90.54878048780465,95.01204819277098,96.05373502745228,96.8557758031443,92.75137498237186,95.05450678011137,93.43706864098341,95.16731194690276,94.12642626739188,92.77169505271671,92.19785241032697,94.3453336390735,95.53177405119172,95.73863636363659,95.03664889285005,94.99792731794908,89.63033037403594,94.1115249780895,94.9091962905721
Escolaridad promedio,9.876764995308566,10.90896981720261,8.918121558058957,7.900382339077129,6.73894487255484,7.893967206994169,8.969219894615094,9.783725600681937,10.562146892655283,8.008427845601918,9.922366297512319,6.685000441423123,10.328735688304075,11.053436614184305,12.223521992747907,6.44164241836405,7.2904787520172025,10.938762182256722,7.2601079309467895,6.388810531264684,8.685943796898169,8.213539934827427,8.00085037922318,7.533589251439547,8.534094574543564,7.634900112607891,8.604759339959882,7.474958520248228,7.8417329024368865,7.019284308548928,7.418118990384598,7.347288202691975,6.050648204079714,5.481461385422329,5.990419765536358,8.973074648053807,7.530596043313916,9.509707792782356,6.588891554702494,7.418375552874936,6.581968253968247,8.106389738294663,8.339963833634815,10.578972959831388,10.132056743455067,10.394795215083487,8.791153147988902,9.781303570777219,9.657484449470939,10.272720588235277,10.612221494102274,11.195824757424306,5.8938491351467235,8.782080942222732,8.103466973938463,8.723482602590114,6.983904962636512,8.145695364238387,7.542376490630336,6.792748207251793,7.333479943701624,6.730066183422626,6.248040069686413,7.174698795180718,7.628127027326357,8.344124774746783,5.9828421003149295,7.7923424621111135,6.760007529175531,7.379424778761087,7.002647922584364,6.341190186536913,6.538496687228688,7.250355423068094,7.5238305383936455,8.13659341577547,6.877944588718031,6.5468080696421485,6.433852423228066,6.166520595968422,6.338050618238008
25 a 49 años,10.332647081354363,11.414163783160328,9.59926976949675,9.1649239961339,7.538376790304812,8.654883807920745,9.884642462033604,10.487206491299512,11.239747000652619,8.658198121263872,10.768859515631144,7.70900594732374,11.060404109007562,11.667741638256674,12.945711479703181,7.258274552360279,8.031429836210703,11.297343546284264,8.11162697707473,7.053326927696376,9.381962864721327,9.014488110494197,8.755623904724416,8.30907326540515,9.359143506001965,8.533511348464625,9.543855402243189,8.279842342342386,8.610579551667588,7.646197399692483,8.192035815268621,8.2094936708861,6.976648943813777,6.139820438341705,6.784603421461895,9.75949883233872,8.332073643410856,10.248250652741504,7.377979568671952,8.319320400448568,7.340066032239267,8.82402767835841,9.168160451269218,11.217187695125466,10.85840147049501,11.204095068799736,9.590319542062185,10.598291081937491,10.50916963830868,11.2411849364356,11.460378769000743,11.995143011332997,6.434638014837547,9.374555792466305,9.034218794630148,9.52465453822446,7.805494344057593,8.767933759879595,8.309469573706485,7.696790675395194,8.316573837121755,7.725572820647866,7.073494168397502,8.268467037331224,8.311966131241313,9.213854816006478,6.74042405283281,8.858614031323777,7.528859458391017,7.846176851759542,7.8087516659262315,7.39959661153691,7.2841258980499575,8.185431380695158,7.914298081084997,8.740110277617415,7.580653932431527,7.180241481633103,6.93866774979694,6.703285659064562,6.96119655707633
50 o más años,9.200082437887332,10.10440852314475,7.685230479774207,6.034232365145229,5.28236868517899,6.380695555142269,7.349350418223887,8.712400670700635,9.186856851757488,6.6481936685288145,8.417729345389885,4.989449003517008,9.338408503303608,10.095870736086251,11.234780010457916,5.237600000000004,6.1432488005483235,10.362326434372516,5.772642607683359,5.141568981064023,7.395189402742273,6.891474234678881,6.643578365168158,6.52585119798235,7.314198912695876,6.1387129043014586,7.155417185554176,5.948014954602091,6.480764577788522,5.64520453500844,6.056384742951897,5.90724101479917,4.3555175588583515,4.050229621125137,4.525636428827541,7.585361067503888,6.006082388719934,7.955606834789308,5.221311475409843,6.038615688020838,5.1500366837857605,6.677082095758601,6.522624123229275,9.399238227146856,8.768150440371345,9.172516655066133,7.244917986821808,8.29974345818369,8.180251822398894,8.738122386925145,8.984457197513148,9.686257856293562,4.623602932339844,7.543774951257993,6.745959006832164,7.372096922947901,5.443679427155056,6.981408450704237,6.089956869993854,5.23639362286971,5.9513227513227545,5.2471557473519095,4.4817094017093915,5.4871323529411775,6.436512758201697,6.93687977875386,4.400696864111505,6.055225445648366,5.423367697594503,6.323257387773512,5.504060564349625,4.552161461884628,5.03954607977993,5.41627054189868,6.255039849976569,7.0077946996042515,5.3972020626432595,5.229951074239539,5.157164869029284,4.861680135312921,4.985451761102604
Porcentaje de asistencia a la educación regular,31.12624547523977,29.80338571320113,33.74507919779308,33.91256512312729,32.449571611684625,31.963043315627516,32.413905663456674,32.755295060428786,30.433258092086426,32.76416344716681,35.08849323287038,33.96437117787849,31.30265929436537,33.400711210930616,35.42005652136658,30.41085118930605,33.531249999999844,32.30718900793341,34.674947702985754,31.074146168819613,31.627074547680774,34.56631112900008,31.482314570095372,27.93139656982848,30.554972062345175,32.690119116865645,33.430097896914404,31.068611400505784,32.05951616356262,33.05957044441397,30.7960021417097,31.62081339712909,36.730803000275856,33.12146562602219,30.063313651561586,34.323883811630715,32.80690237269068,34.21548437979272,31.599031334849887,33.04355954383999,29.473285335354284,33.888452100159725,34.397181493186565,34.12053246438097,32.91706186110233,31.982268938790394,33.29168525955658,33.41451990632325,33.32813150228868,29.42535515902265,32.36427883071004,33.62937792022224,33.66173098597042,34.98275892247605,31.10300859293401,28.428602477722105,32.33167012390003,29.38318421520396,33.088605470716445,30.27157513578759,32.2168356104007,31.15871470301851,34.92450638792077,33.26341024872646,32.9925659403944,33.520741528643214,36.21571133615181,30.483520160615825,30.776388268572436,30.250174016296018,33.01825933301589,35.251406267936844,29.52892393447092,34.63962657243055,28.547319226275402,35.72109107590223,32.88167321267635,32.70019635670799,36.19937924918726,32.80834466048089,32.50261275022077
Menor de 5 años,16.79944234216286,28.713649462929048,14.334792859548635,11.185149928605432,7.549759780370646,12.138336347197104,19.932810750279955,18.153727307840757,27.577319587628878,11.121089657236958,18.76802096985584,11.039886039886042,18.924889543446216,23.35912869016908,28.795379537953842,9.41176470588235,7.481751824817519,23.26209776467698,8.723214285714283,5.567928730512251,13.595196906482117,15.188194329298668,14.169268123482533,12.322274881516577,12.73385636692818,13.524590163934427,19.78586723768736,14.507102884201482,11.647555823777905,9.505897354159988,15.315315315315303,12.600732600732618,5.916870415647912,6.8434559452523445,7.9255685733976415,19.071278425377454,17.005420054200528,18.46552362156163,15.738963531669866,18.791451731761267,16.383169203222895,18.88571428571432,17.737386399247896,19.73748176956732,19.23076923076921,23.76980817347792,15.753424657534287,18.652373660030666,22.640170333569923,29.069767441860463,25.8278145695364,25.817361894024813,6.420404573438861,11.014344262295037,13.601630157921536,15.446249721789437,8.2989994114185,10.213776722090245,10.655391120507417,9.530292716133422,14.986559139784912,10.693301997649822,6.221315655277917,8.604206500956021,10.811082112025652,10.689655172413786,5.679824561403517,11.847389558232914,7.563352826510742,8.531583264971278,6.434086359736919,7.370462732058745,6.623931623931621,7.004089979550099,9.873834339001636,8.608214513726347,8.099287125311358,8.936249766311425,7.4287280701754375,6.058262438772863,10.255760952139783
5 a 17 años,88.54844476224564,90.8590934951643,89.32971529859722,90.18232819074325,83.88206388206409,86.72526817640026,91.06165632980678,89.70178926441328,90.33208083680309,86.32666167183977,92.01881742233758,89.94401824590487,90.96291137036427,92.28397944885592,92.81471004243308,87.04422032583393,86.3077823288474,90.33045743122223,86.75815257488475,83.19550115779028,88.50637181409394,88.98520318021188,88.39362742278716,84.00297619047608,90.46688806407496,90.16494845360823,91.36344912810677,87.635379061372,88.11053984575824,85.75428433502314,87.29220539342423,87.24897169126521,86.28263248397704,77.8561151079135,80.0290838584586,89.40382805145903,87.0230141054195,89.78591575345686,89.05352283035958,88.4061798494651,82.37766436505532,88.25579205123401,89.83907571693815,91.3144016227185,88.48870056497174,91.21260683760697,90.81684424150187,90.72186613428627,92.10206561360854,89.5033282130055,91.32075471698121,90.90568160510045,84.33335418882584,87.37029938536763,88.07875573136761,82.92070926731351,84.66613354658124,84.83249196879292,87.40169864737337,85.4466529586473,90.18966644865931,87.28189220628147,82.68319358366749,88.47352024922118,87.82476905311793,88.75945537065026,82.48065509728808,87.24381625441673,83.80677919582807,86.38911128903122,85.74271216794337,86.59101654846324,84.29098576700073,86.82634730538895,85.70372196204102,85.13941698352339,84.38776132138726,84.57303974221219,82.4851431658562,81.6158363326389,83.15932818883388
18 a 24 años,46.246173674883416,49.905261623669915,45.390495649416955,52.435897435897566,37.0578084555651,39.49133240541564,48.758660508083224,48.865472881246525,46.544312169312285,36.94779116465859,53.96239885768677,46.252354048964314,52.746724365909344,57.82351282774172,69.30455635491606,39.85815602836878,44.090441932168524,53.24775921212805,45.126721320259286,37.03898840885134,43.17535819943144,51.10502121640745,42.315583781143104,39.14246196403875,50.424128180961304,46.00954979536174,55.65775401069513,40.20227560050565,43.552785352551645,34.36346467507972,40.64026044492673,43.29440193314534,38.175919250180065,30.185895544408375,29.579579579579555,51.8638265500192,42.93751496289218,47.60711030082068,43.951612903225836,49.12432432432449,35.74660633484157,46.760609005506865,44.8081661386837,54.19161676646715,50.7479644006818,56.41700404858293,46.29977069001461,51.45681581685733,52.56410256410248,50.47585477617209,50.90180360721437,57.71284068558586,31.32799159332716,45.325226568773594,45.06300845429906,37.51891074130078,38.38130997079679,32.924994627122274,39.14454277286127,35.12216404886565,45.69868001820658,45.05576208178443,34.039215686274495,58.32426550598474,40.15976247702546,46.09223971278663,36.49180327868854,44.63171036204742,32.72028547900085,30.82929456112005,35.831090871455096,40.145342435587025,31.946370781322205,37.26944285985914,23.28227571115976,39.69908380263946,32.919405892378826,31.502699855129634,30.661421194984015,27.486077963404895,32.15434083601273
